"","ONTOLOGY","TERM","N","DE","P.DE","FDR"
"GO:0003834","MF","beta-carotene 15,15'-dioxygenase activity",3,3,0.866829076988004,1
"GO:0003835","MF","beta-galactoside alpha-2,6-sialyltransferase activity",2,2,0.921934513705971,1
"GO:0003836","MF","beta-galactoside (CMP) alpha-2,3-sialyltransferase activity",7,7,0.743710872184916,1
"GO:0003837","MF","beta-ureidopropionase activity",1,1,0.957989312922164,1
"GO:0003839","MF","gamma-glutamylcyclotransferase activity",3,3,0.878571292570003,1
"GO:0003841","MF","1-acylglycerol-3-phosphate O-acyltransferase activity",20,19,0.786774667457073,1
"GO:0003842","MF","L-glutamate gamma-semialdehyde dehydrogenase activity",1,1,0.960289775982821,1
"GO:0003844","MF","1,4-alpha-glucan branching enzyme activity",1,1,0.959117736832067,1
"GO:0003846","MF","2-acylglycerol O-acyltransferase activity",6,6,0.76942603360303,1
"GO:0003847","MF","1-alkyl-2-acetylglycerophosphocholine esterase activity",7,7,0.74323608605831,1
"GO:0003851","MF","N-acylsphingosine galactosyltransferase activity",1,1,0.958774013600154,1
"GO:0003853","MF","short-chain 2-methyl fatty acyl-CoA dehydrogenase activity",2,2,0.911480313225031,1
"GO:0003854","MF","3-beta-hydroxy-Delta5-steroid dehydrogenase (NAD+) activity",3,3,0.869988728868095,1
"GO:0003857","MF","(3S)-3-hydroxyacyl-CoA dehydrogenase (NAD+) activity",5,5,0.80217917385633,1
"GO:0003858","MF","3-hydroxybutyrate dehydrogenase activity",2,2,0.916257832180804,1
"GO:0003860","MF","3-hydroxyisobutyryl-CoA hydrolase activity",1,0,1,1
"GO:0003863","MF","branched-chain 2-oxo acid dehydrogenase activity",2,2,0.913761223556856,1
"GO:0003865","MF","3-oxo-5-alpha-steroid 4-dehydrogenase activity",3,2,0.994623950067206,1
"GO:0003868","MF","4-hydroxyphenylpyruvate dioxygenase activity",2,2,0.92091741551544,1
"GO:0003870","MF","5-aminolevulinate synthase activity",1,1,0.958491175470573,1
"GO:0003872","MF","6-phosphofructokinase activity",3,3,0.882434724770789,1
"GO:0003873","MF","6-phosphofructo-2-kinase activity",3,3,0.885134315366337,1
"GO:0003874","MF","6-pyruvoyltetrahydropterin synthase activity",1,1,0.956347971848324,1
"GO:0003875","MF","ADP-ribosylarginine hydrolase activity",2,2,0.921813460378879,1
"GO:0003876","MF","AMP deaminase activity",3,3,0.881348445458645,1
"GO:0003877","MF","ATP:ADP adenylyltransferase activity",1,0,1,1
"GO:0003878","MF","ATP citrate synthase activity",1,1,0.959558898137163,1
"GO:0003880","MF","protein C-terminal carboxyl O-methyltransferase activity",2,2,0.914788390267112,1
"GO:0003881","MF","CDP-diacylglycerol-inositol 3-phosphatidyltransferase activity",1,1,0.957679298367844,1
"GO:0003882","MF","CDP-diacylglycerol-serine O-phosphatidyltransferase activity",1,1,0.960025615340714,1
"GO:0003883","MF","CTP synthase activity",1,1,0.959946168152054,1
"GO:0003884","MF","D-amino-acid oxidase activity",2,2,0.911114623275697,1
"GO:0003886","MF","DNA (cytosine-5-)-methyltransferase activity",3,3,0.885851407245875,1
"GO:0003887","MF","DNA-directed DNA polymerase activity",22,21,0.760526849385117,1
"GO:0003899","MF","DNA-directed RNA polymerase activity",29,27,0.867852413102512,1
"GO:0003905","MF","alkylbase DNA N-glycosylase activity",1,1,0.959555419436639,1
"GO:0003906","MF","DNA-(apurinic or apyrimidinic site) endonuclease activity",13,11,0.983624983727358,1
"GO:0003908","MF","methylated-DNA-[protein]-cysteine S-methyltransferase activity",1,1,0.960460355385763,1
"GO:0003909","MF","DNA ligase activity",3,3,0.881467392717716,1
"GO:0003910","MF","DNA ligase (ATP) activity",3,3,0.881467392717716,1
"GO:0003912","MF","DNA nucleotidylexotransferase activity",1,1,0.954328118404152,1
"GO:0003916","MF","DNA topoisomerase activity",7,6,0.970312083055771,1
"GO:0003917","MF","DNA topoisomerase type I (single strand cut, ATP-independent) activity",4,3,0.990971100988002,1
"GO:0003918","MF","DNA topoisomerase type II (double strand cut, ATP-hydrolyzing) activity",3,3,0.882685130307269,1
"GO:0003919","MF","FMN adenylyltransferase activity",1,1,0.960315219046756,1
"GO:0003920","MF","GMP reductase activity",2,2,0.918223205268109,1
"GO:0003921","MF","GMP synthase activity",1,1,0.956516466725662,1
"GO:0003922","MF","GMP synthase (glutamine-hydrolyzing) activity",1,1,0.956516466725662,1
"GO:0003923","MF","GPI-anchor transamidase activity",3,3,0.880400077872475,1
"GO:0003924","MF","GTPase activity",317,306,0.27755995006108,1
"GO:0003925","MF","G protein activity",66,65,0.219573680270649,1
"GO:0003933","MF","GTP cyclohydrolase activity",1,0,1,1
"GO:0003934","MF","GTP cyclohydrolase I activity",1,0,1,1
"GO:0003937","MF","IMP cyclohydrolase activity",1,1,0.959810294584749,1
"GO:0003938","MF","IMP dehydrogenase activity",2,2,0.921207158144419,1
