"","Description","N","DE","P.DE","FDR"
"hsa00440","Phosphonate and phosphinate metabolism",5,5,0.811564597273516,0.939208917296315
"hsa00450","Selenocompound metabolism",17,17,0.478939115232935,0.71739585298794
"hsa00470","D-Amino acid metabolism",6,6,0.765951903211155,0.927748845341718
"hsa00480","Glutathione metabolism",51,50,0.324059114873131,0.571808517399371
"hsa00500","Starch and sucrose metabolism",31,31,0.250660291655431,0.502075847968169
"hsa00510","N-Glycan biosynthesis",53,47,0.99321653229747,0.999999403789894
"hsa00511","Other glycan degradation",18,18,0.467841755759892,0.709252562269709
"hsa00512","Mucin type O-glycan biosynthesis",35,35,0.212995981867249,0.473030108674498
"hsa00513","Various types of N-glycan biosynthesis",42,39,0.902055824946315,0.984919589961158
"hsa00514","Other types of O-glycan biosynthesis",47,47,0.128058781666796,0.363647838015633
"hsa00515","Mannose type O-glycan biosynthesis",23,23,0.370880971186775,0.618689333100809
"hsa00520","Amino sugar and nucleotide sugar metabolism",37,37,0.206998315469407,0.472966042484512
"hsa00524","Neomycin, kanamycin and gentamicin biosynthesis",5,5,0.812971159595198,0.939208917296315
"hsa00531","Glycosaminoglycan degradation",18,17,0.82295668063732,0.941968877529487
"hsa00532","Glycosaminoglycan biosynthesis - chondroitin sulfate / dermatan sulfate",20,20,0.42832430976439,0.683010660175013
"hsa00533","Glycosaminoglycan biosynthesis - keratan sulfate",14,14,0.553822370905759,0.763754221074631
"hsa00534","Glycosaminoglycan biosynthesis - heparan sulfate / heparin",23,22,0.747227727118119,0.914370771341908
"hsa00541","Biosynthesis of various nucleotide sugars",19,18,0.812432069085259,0.939208917296315
"hsa00561","Glycerolipid metabolism",61,59,0.508636549566024,0.74708295175348
"hsa00562","Inositol phosphate metabolism",74,72,0.403065438140131,0.657633083281267
"hsa00563","Glycosylphosphatidylinositol (GPI)-anchor biosynthesis",29,28,0.647103837410151,0.841516513886555
"hsa00564","Glycerophospholipid metabolism",99,97,0.204355089728257,0.472966042484512
"hsa00565","Ether lipid metabolism",50,50,0.109784992026867,0.337520801933839
"hsa00590","Arachidonic acid metabolism",61,61,0.0616968311748133,0.249469795619897
"hsa00591","Linoleic acid metabolism",29,29,0.254052515481925,0.502699658294022
"hsa00592","alpha-Linolenic acid metabolism",25,25,0.32401964714525,0.571808517399371
"hsa00600","Sphingolipid metabolism",54,52,0.588251459515281,0.792860662824944
"hsa00601","Glycosphingolipid biosynthesis - lacto and neolacto series",28,28,0.300498516179511,0.556146507556111
"hsa00603","Glycosphingolipid biosynthesis - globo and isoglobo series",15,15,0.528973911418061,0.756288219100304
"hsa00604","Glycosphingolipid biosynthesis - ganglio series",15,15,0.537566079122149,0.760359625222204
"hsa00620","Pyruvate metabolism",47,45,0.658951274088249,0.843552642916687
"hsa00630","Glyoxylate and dicarboxylate metabolism",31,31,0.252818703922415,0.502699658294022
"hsa00640","Propanoate metabolism",32,29,0.95018117324627,0.98999006044238
"hsa00650","Butanoate metabolism",24,24,0.341773132481255,0.591347001316403
"hsa00660","C5-Branched dibasic acid metabolism",2,2,0.911048678838419,0.984919589961158
"hsa00670","One carbon pool by folate",37,37,0.198587694169015,0.472966042484512
"hsa00730","Thiamine metabolism",15,15,0.528040955608155,0.756288219100304
"hsa00740","Riboflavin metabolism",8,8,0.710681150460346,0.884191933014209
"hsa00750","Vitamin B6 metabolism",6,6,0.768904826690829,0.927748845341718
"hsa00760","Nicotinate and nicotinamide metabolism",38,36,0.783099831820698,0.927748845341718
"hsa00770","Pantothenate and CoA biosynthesis",21,21,0.407243673256413,0.65867237587559
"hsa00780","Biotin metabolism",3,3,0.881639172412472,0.970324769637396
"hsa00785","Lipoic acid metabolism",18,16,0.957583093450319,0.98999006044238
"hsa00790","Folate biosynthesis",28,27,0.642230739094557,0.84128644147497
"hsa00830","Retinol metabolism",64,59,0.913258595818488,0.984919589961158
"hsa00860","Porphyrin metabolism",41,37,0.959606272369713,0.98999006044238
"hsa00900","Terpenoid backbone biosynthesis",23,23,0.365977067388327,0.616033796689853
"hsa00910","Nitrogen metabolism",15,14,0.860288319449601,0.962167967317821
"hsa00920","Sulfur metabolism",10,10,0.651496655912171,0.841516513886555
"hsa00970","Aminoacyl-tRNA biosynthesis",44,40,0.963377424408983,0.98999006044238
"hsa00980","Metabolism of xenobiotics by cytochrome P450",66,62,0.78013493828367,0.927748845341718
"hsa00982","Drug metabolism - cytochrome P450",61,57,0.811463786839479,0.939208917296315
"hsa00983","Drug metabolism - other enzymes",72,66,0.949005335345821,0.98999006044238
"hsa01040","Biosynthesis of unsaturated fatty acids",27,26,0.678749009707791,0.858640560797077
"hsa01100","Metabolic pathways",1493,1444,0.0233833714093623,0.143663894456339
"hsa01200","Carbon metabolism",106,104,0.162729207617565,0.417484587818857
"hsa01210","2-Oxocarboxylic acid metabolism",31,30,0.617901334180614,0.82092605826853
"hsa01212","Fatty acid metabolism",56,54,0.578080983364931,0.787714746563202
"hsa01230","Biosynthesis of amino acids",66,64,0.46648808648801,0.709252562269709
"hsa01232","Nucleotide metabolism",82,79,0.537028147821735,0.760359625222204
"hsa01240","Biosynthesis of cofactors",149,142,0.678306045815146,0.858640560797077
"hsa01250","Biosynthesis of nucleotide sugars",37,36,0.54077254171603,0.761121716591901
"hsa01320","Sulfur cycle",2,2,0.918182808034559,0.984919589961158
"hsa01521","EGFR tyrosine kinase inhibitor resistance",79,79,0.0367586942195002,0.187318277392522
"hsa01522","Endocrine resistance",96,96,0.0178181121662701,0.127725721353228
"hsa01523","Antifolate resistance",29,29,0.281668806614159,0.537337415694703
"hsa01524","Platinum drug resistance",68,66,0.441252412173484,0.692598722905216
"hsa02010","ABC transporters",43,43,0.154991316523308,0.408600039221366
"hsa03008","Ribosome biogenesis in eukaryotes",78,72,0.940720207477585,0.98999006044238
"hsa03010","Ribosome",171,148,0.999999403789894,0.999999403789894
"hsa03013","Nucleocytoplasmic transport",101,95,0.862318176334615,0.962167967317821
"hsa03015","mRNA surveillance pathway",85,81,0.715814117595789,0.887609505818778
"hsa03018","RNA degradation",75,71,0.788035207144104,0.930632054151133
"hsa03020","RNA polymerase",32,29,0.949778785403199,0.98999006044238
"hsa03022","Basal transcription factors",39,36,0.916171106094636,0.984919589961158
"hsa03030","DNA replication",34,34,0.233325637263915,0.485720797995541
"hsa03040","Spliceosome",157,140,0.999802481492941,0.999999403789894
"hsa03050","Proteasome",46,40,0.997087021798145,0.999999403789894
"hsa03060","Protein export",30,26,0.991653261017246,0.999999403789894
"hsa03082","ATP-dependent chromatin remodeling",108,103,0.68931805288575,0.866305120518578
"hsa03083","Polycomb repressive complex",75,74,0.180391553293479,0.443613514553549
"hsa03250","Viral life cycle - HIV-1",63,60,0.718956143535864,0.888543805300137
"hsa03260","Virion - Human immunodeficiency virus",5,5,0.7971872013303,0.935430912302803
"hsa03264","Virion - Flavivirus and Alphavirus",6,6,0.770347310691042,0.927748845341718
"hsa03265","Virion - Ebolavirus, Lyssavirus and Morbillivirus",11,10,0.921376390608825,0.984919589961158
"hsa03266","Virion - Herpesvirus",9,9,0.674316096539089,0.858640560797077
"hsa03267","Virion - Adenovirus",4,3,0.987713732826183,0.999999403789894
"hsa03271","Virion - Rotavirus",2,2,0.920349258511922,0.984919589961158
"hsa03272","Virion - Hepatitis viruses",45,44,0.431471788013785,0.683010660175013
"hsa03273","Virion - Lassa virus and SFTS virus",14,14,0.558007370325267,0.765973216830256
"hsa03320","PPAR signaling pathway",73,72,0.175767453678681,0.438828810526639
"hsa03410","Base excision repair",44,40,0.963088756226442,0.98999006044238
"hsa03420","Nucleotide excision repair",56,51,0.968947587264434,0.992971081163553
"hsa03430","Mismatch repair",22,22,0.391465274308747,0.64152018521081
"hsa03440","Homologous recombination",39,38,0.512113313701982,0.74708295175348
"hsa03450","Non-homologous end-joining",13,13,0.569872060673207,0.779383847685416
"hsa03460","Fanconi anemia pathway",50,48,0.651188232389988,0.841516513886555
"hsa04010","MAPK signaling pathway",288,285,0.001589445915399,0.0369546175330268
"hsa04012","ErbB signaling pathway",83,82,0.138588968097823,0.37720842316708
"hsa04014","Ras signaling pathway",228,228,5.75620290000541e-05,0.00408273883716565
"hsa04015","Rap1 signaling pathway",208,207,0.00133696857152793,0.0331568205738928
"hsa04020","Calcium signaling pathway",241,240,0.000367180361607145,0.0113825912098215
"hsa04022","cGMP-PKG signaling pathway",160,159,0.00890310465013672,0.0895122954013746
"hsa04024","cAMP signaling pathway",219,219,8.57079595812268e-05,0.00455476585203091
"hsa04060","Cytokine-cytokine receptor interaction",274,268,0.034962268275056,0.183182588708744
"hsa04061","Viral protein interaction with cytokine and cytokine receptor",93,91,0.200933005164095,0.472966042484512
"hsa04062","Chemokine signaling pathway",184,183,0.00277937474914736,0.0430803086117841
"hsa04064","NF-kappa B signaling pathway",94,93,0.0892120784234443,0.301233561227493
"hsa04066","HIF-1 signaling pathway",106,104,0.173168090677928,0.438221290695165
"hsa04068","FoxO signaling pathway",129,127,0.0906939754233312,0.301233561227493
"hsa04070","Phosphatidylinositol signaling system",93,92,0.0982575865597576,0.315101915519223
"hsa04071","Sphingolipid signaling pathway",124,121,0.232819361043726,0.485720797995541
"hsa04072","Phospholipase D signaling pathway",145,145,0.00209853198678352,0.0405053968640488
"hsa04080","Neuroactive ligand-receptor interaction",343,341,2.96691024229558e-05,0.00408273883716565
"hsa04081","Hormone signaling",211,208,0.018027891312485,0.127725721353228
"hsa04082","Neuroactive ligand signaling",192,192,0.000268886942148155,0.00909326749810123
"hsa04110","Cell cycle",152,145,0.699917477826414,0.873722489098745
"hsa04114","Oocyte meiosis",119,112,0.866468465192124,0.962167967317821
"hsa04115","p53 signaling pathway",75,72,0.625890161169788,0.828580569235448
"hsa04120","Ubiquitin mediated proteolysis",134,129,0.512000934190923,0.74708295175348
"hsa04122","Sulfur relay system",8,7,0.956305424832948,0.98999006044238
"hsa04130","SNARE interactions in vesicular transport",32,32,0.245154760351121,0.49834738169736
"hsa04136","Autophagy - other",30,29,0.642272444566912,0.84128644147497
"hsa04137","Mitophagy - animal",99,95,0.59175070238409,0.794697694176468
"hsa04140","Autophagy - animal",159,157,0.036098103368263,0.186506867402692
"hsa04141","Protein processing in endoplasmic reticulum",166,157,0.83311831545598,0.946857203549759
"hsa04142","Lysosome biogenesis",239,234,0.0572351890961783,0.23657211493087
"hsa04144","Endocytosis",238,226,0.799642554065299,0.935430912302803
"hsa04145","Phagocytosis",233,229,0.0223899484476688,0.14117052241581
"hsa04146","Peroxisome",81,77,0.734485912231359,0.904730991225383
"hsa04148","Efferocytosis",156,152,0.212902377328685,0.473030108674498
"hsa04150","mTOR signaling pathway",153,150,0.115142858498892,0.342665146892703
"hsa04151","PI3K-Akt signaling pathway",343,339,0.000831533299075844,0.0237946451735549
"hsa04152","AMPK signaling pathway",119,117,0.127256289575696,0.363647838015633
"hsa04156","Integrated stress response (ISR) signaling pathway",51,48,0.83465075865099,0.946857203549759
"hsa04210","Apoptosis",133,131,0.0774600390069104,0.279758587481269
"hsa04211","Longevity regulating pathway",89,88,0.114591268017473,0.342665146892703
"hsa04213","Longevity regulating pathway - multiple species",61,60,0.278784496897128,0.536024634936613
"hsa04215","Apoptosis - multiple species",31,30,0.631698032490184,0.833303787540243
"hsa04216","Ferroptosis",38,37,0.521585667843858,0.754980032832355
"hsa04217","Necroptosis",145,138,0.698283606795675,0.873722489098745
"hsa04218","Cellular senescence",151,148,0.124922688421893,0.363056563226126
"hsa04260","Cardiac muscle contraction",78,78,0.0339004819526557,0.180156846948399
"hsa04261","Adrenergic signaling in cardiomyocytes",148,147,0.0141029170284284,0.119464512026822
"hsa04270","Vascular smooth muscle contraction",131,131,0.00356046273617485,0.0500334221892303
"hsa04310","Wnt signaling pathway",173,172,0.00574356318505999,0.0647456213588581
"hsa04330","Notch signaling pathway",62,62,0.0725087005469342,0.267329399886806
"hsa04340","Hedgehog signaling pathway",56,55,0.325500475729064,0.571808517399371
"hsa04350","TGF-beta signaling pathway",109,107,0.162288651704272,0.417484587818857
"hsa04360","Axon guidance",177,176,0.00517476830776255,0.0601566815777397
"hsa04370","VEGF signaling pathway",60,59,0.275043240549875,0.535686311437453
"hsa04371","Apelin signaling pathway",138,138,0.00270181860479189,0.0430803086117841
"hsa04380","Osteoclast differentiation",127,125,0.0875119665438703,0.301233561227493
"hsa04382","Cornified envelope formation",206,204,0.00382347575927847,0.0500334221892303
"hsa04390","Hippo signaling pathway",155,152,0.112056599524741,0.338902886367509
"hsa04392","Hippo signaling pathway - multiple species",29,29,0.297789505364626,0.556146507556111
"hsa04510","Focal adhesion",196,195,0.00241628796636193,0.0428028154041257
"hsa04512","ECM-receptor interaction",87,87,0.0258737298830202,0.150391054945055
"hsa04514","Cell adhesion molecule (CAM) interaction",138,138,0.00258902124404029,0.0430803086117841
"hsa04517","IgSF CAM signaling",286,285,6.03189791435414e-05,0.00408273883716565
"hsa04518","Integrin signaling",149,149,0.00186435381082547,0.0405053968640488
"hsa04519","Cadherin signaling",393,392,7.11844399333102e-07,0.000264806116551914
"hsa04520","Adherens junction",92,89,0.462977338716509,0.708755432109223
